Stock,Avg V,Price,Call,Call time,Earnings Date,Earnings Time,Avg ch %,Sector,Industry
XEL,"3,990,870",58.68,-,-,2023-07-27,Before Market Open,1.4,Utilities,Utilities - Regulated Electric
XOM,"15,708,330",118.52,-,-,2023-07-28,Before Market Open,2,Energy,Oil & Gas Integrated
XPO,"1,854,850",72.18,-,-,2023-08-04,Before Market Open,5.5,Industrials,Trucking
XRAY,"1,472,210",35.59,-,-,2023-08-02,After Close,4.3,Healthcare,Medical Instruments & Supplies
XYL,"1,399,100",96.32,-,-,2023-08-02,Before Market Open,-,Industrials,Specialty Industrial Machinery
YELP,"696,290",43.57,-,-,2023-08-03,After Close,13.8,Communication Services,Internet Content & Information
YPF,"2,015,970",12.93,-,-,2023-08-11,After Close,-,Energy,Oil & Gas Integrated
YUM,"1,527,640",131.69,-,-,2023-08-02,Before Market Open,3.5,Consumer Cyclical,Restaurants
Z,"2,689,710",48.81,-,-,2023-08-02,After Close,10.5,Communication Services,Internet Content & Information
ZBH,"1,486,650",121.62,-,-,2023-08-01,Before Market Open,4.3,Healthcare,Medical Devices
ZBRA,"437,400",254.79,-,-,2023-08-01,Before Market Open,-,Technology,Communication Equipment
ZION,"3,438,840",37.08,-,-,2023-07-19,After Close,3.6,Financial,Banks - Regional
ZTS,"1,848,710",182.74,-,-,2023-08-08,Before Market Open,-,Healthcare,Drug Manufacturers - Specialty & Generic
